sigma,lmba,alfa,enlarge_factor,fails,overlap,fps
2.0,0.01,0.1,1.2,77.0,0.419052839011622,351.5920668144696
2.0,0.01,0.1,1.4,86.0,0.3351451329829305,298.657554683719
2.0,0.01,0.1,1.6,82.0,0.25147158376856193,216.07482041682798
2.0,0.01,0.1,1.8,89.0,0.19367554245952906,171.70057838620698
2.0,0.01,0.1,2.0,102.0,0.1418084627877167,170.56531077039273
2.0,0.01,0.15,1.0,85.0,0.46223739436077005,416.02536191139
2.0,0.01,0.15,1.2,71.0,0.43746459613349187,364.66779653766565
2.0,0.01,0.15,1.4,79.0,0.31772715611406555,290.84727719120065
2.0,0.01,0.15,1.6,75.0,0.2676385737458485,207.82289198238647
2.0,0.01,0.15,1.8,89.0,0.1887538732969146,200.58624952613462
2.0,0.01,0.15,2.0,100.0,0.14018986632201183,171.12081499964944
2.0,0.01,0.2,1.0,89.0,0.4630017764284308,391.652428104145
2.0,0.01,0.2,1.2,77.0,0.40466452020668614,362.3415970116958
2.0,0.01,0.2,1.4,72.0,0.3474438669998308,308.5926054233764
2.0,0.01,0.2,1.6,77.0,0.2623198260272562,223.40561859205667
2.0,0.01,0.2,1.8,89.0,0.18049991590940717,200.5293171631276
2.0,0.01,0.2,2.0,102.0,0.14533864943569244,164.47563872748182
4.0,0.01,0.05,1.0,102.0,0.4330844199177988,426.37028860553096
4.0,0.01,0.05,1.2,98.0,0.40675043197800265,359.79466342705894
4.0,0.01,0.05,1.4,93.0,0.3103639872069134,275.53670203478936
4.0,0.01,0.05,1.6,87.0,0.24459372285532566,200.87934822344633
4.0,0.01,0.05,1.8,86.0,0.20299327913620427,171.68285378053668
4.0,0.01,0.05,2.0,105.0,0.14297453811260336,163.02941693460707
4.0,0.01,0.1,1.0,102.0,0.4483289858386421,415.39237280444087
4.0,0.01,0.1,1.2,77.0,0.39986361327212017,343.72979272733346
4.0,0.01,0.1,1.4,75.0,0.33447560961467454,285.5881463723064
4.0,0.01,0.1,1.6,80.0,0.26326363051664425,203.93292043505608
4.0,0.01,0.1,1.8,97.0,0.1998116968190071,201.99677418964214
4.0,0.01,0.1,2.0,96.0,0.1393494311796768,174.59832663280463
4.0,0.01,0.15,1.0,95.0,0.4278995537961587,415.0242674263367
4.0,0.01,0.15,1.2,87.0,0.3913000180719674,376.4961752177941
4.0,0.01,0.15,1.4,80.0,0.32801187875329674,303.2311560217194
4.0,0.01,0.15,1.6,86.0,0.25078050252359385,218.21513110724536
4.0,0.01,0.15,1.8,87.0,0.19119841493320064,194.06414718359972
4.0,0.01,0.15,2.0,98.0,0.1328313360338921,167.7119901468691
4.0,0.01,0.2,1.0,95.0,0.44898746361937525,423.81990337428766
4.0,0.01,0.2,1.2,88.0,0.4028298310010843,394.46084319737326
4.0,0.01,0.2,1.4,90.0,0.31144609911603927,290.6303709987985
4.0,0.01,0.2,1.6,80.0,0.25792234284142856,204.28750204772643
4.0,0.01,0.2,1.8,94.0,0.19423796525387754,199.44316772182086
4.0,0.01,0.2,2.0,109.0,0.14472777201469653,178.56651002961993
6.0,0.01,0.05,1.0,116.0,0.4065988699853289,439.0041426903896
6.0,0.01,0.05,1.2,108.0,0.38220765182353217,372.8585627820399
6.0,0.01,0.05,1.4,111.0,0.31672651935459617,306.860589789962
6.0,0.01,0.05,1.6,91.0,0.25160130865749425,207.03265528660674
6.0,0.01,0.05,1.8,100.0,0.18856480731038544,186.84512522120127
6.0,0.01,0.05,2.0,102.0,0.1366913092075367,177.84806321268906
6.0,0.01,0.1,1.0,106.0,0.4056253939837553,441.09130495186037
6.0,0.01,0.1,1.2,103.0,0.3822318893327328,368.5584407180614
6.0,0.01,0.1,1.4,104.0,0.32692777683083074,290.7148216117182
6.0,0.01,0.1,1.6,95.0,0.2507876504295505,211.8187515993435
6.0,0.01,0.1,1.8,108.0,0.19353212510876588,204.34219062021384
6.0,0.01,0.1,2.0,99.0,0.1438765422585179,178.38861562626843
6.0,0.01,0.15,1.0,112.0,0.39495355386785014,446.21549447473757
6.0,0.01,0.15,1.2,105.0,0.37860795568039435,383.7266624095586
6.0,0.01,0.15,1.4,99.0,0.3063816057994262,293.67482038741025
6.0,0.01,0.15,1.6,102.0,0.26240643699498906,221.32026904311172
6.0,0.01,0.15,1.8,98.0,0.18309815408412836,207.38308288029668
6.0,0.01,0.15,2.0,104.0,0.1373871828306673,172.93288198647454
6.0,0.01,0.2,1.0,113.0,0.42347823499430653,432.23276119324595
6.0,0.01,0.2,1.2,104.0,0.3763017467264343,380.79096065764935
6.0,0.01,0.2,1.4,94.0,0.30683770876804395,310.4475747539272
6.0,0.01,0.2,1.6,96.0,0.25894012186879634,225.5768443564376
6.0,0.01,0.2,1.8,99.0,0.18716952469233886,208.62286308697279
6.0,0.01,0.2,2.0,104.0,0.15334341649583785,170.36058075309109
8.0,0.01,0.05,1.0,145.0,0.40926123596741065,416.67293162129715
8.0,0.01,0.05,1.2,134.0,0.3833741454313195,356.67370233153235
8.0,0.01,0.05,1.4,123.0,0.319170701159401,281.64932083766774
8.0,0.01,0.05,1.6,119.0,0.24188729287256744,197.27949895533078
8.0,0.01,0.05,2.0,121.0,0.14424938751585892,162.66386587845045
8.0,0.01,0.1,1.0,135.0,0.39819156139836287,426.56104121110417
8.0,0.01,0.1,1.2,116.0,0.34672750741723113,339.5214891236068
8.0,0.01,0.1,1.4,118.0,0.3058328635896163,281.6517620990092
8.0,0.01,0.1,1.6,108.0,0.23686861676686974,200.59593644400903
8.0,0.01,0.1,1.8,111.0,0.18868740865418374,198.34774061583445
8.0,0.01,0.1,2.0,118.0,0.1536013094796596,171.17480238365638
8.0,0.01,0.15,1.0,136.0,0.3971305182602488,410.8736304927453
8.0,0.01,0.15,1.2,121.0,0.36033109509574374,341.43045205917633
8.0,0.01,0.15,1.4,118.0,0.3098955608613682,297.5068743969079
8.0,0.01,0.15,1.6,120.0,0.25261834527612953,209.6916247001194
8.0,0.01,0.15,1.8,113.0,0.18410742580867479,205.68409032068251
8.0,0.01,0.15,2.0,113.0,0.1450205810890097,169.7192992860097
8.0,0.01,0.2,1.0,128.0,0.3967441567105749,411.84995590219677
8.0,0.01,0.2,1.2,122.0,0.3635014856887016,335.76740939413764
8.0,0.01,0.2,1.4,119.0,0.3100912204002251,281.2409634718281
8.0,0.01,0.2,1.6,115.0,0.2513726748249993,199.5746743682816
8.0,0.01,0.2,1.8,115.0,0.20287504840923734,187.88916313745486
8.0,0.01,0.2,2.0,123.0,0.14420308781469537,161.30455097858572
